"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "JSON", "XML", "HTML", "Markdown", "Properties", "comment", "blank", "total"
"c:\Users\Σταύρος\Desktop\wrotit\src\firebase\Firebase.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 2, 20
"c:\Users\Σταύρος\Desktop\wrotit\src\images\chat.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Σταύρος\Desktop\wrotit\src\images\checked.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Σταύρος\Desktop\wrotit\src\images\communities.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"c:\Users\Σταύρος\Desktop\wrotit\src\images\dislike.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Σταύρος\Desktop\wrotit\src\images\facebook-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\images\gear-spinner.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\images\google-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\images\home.svg", "XML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 0, 14
"c:\Users\Σταύρος\Desktop\wrotit\src\images\light-switch-off-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Σταύρος\Desktop\wrotit\src\images\light-switch-on-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Σταύρος\Desktop\wrotit\src\images\like.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Σταύρος\Desktop\wrotit\src\images\search.svg", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 0, 13
"c:\Users\Σταύρος\Desktop\wrotit\src\images\share.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Σταύρος\Desktop\wrotit\src\images\top.svg", "XML", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\Σταύρος\Desktop\wrotit\src\images\twitter-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\images\unchecked.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Σταύρος\Desktop\wrotit\src\index.css", "PostCSS", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Σταύρος\Desktop\wrotit\src\index.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 11, 45
"c:\Users\Σταύρος\Desktop\wrotit\src\isLoggedIn.jsx", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\Σταύρος\Desktop\wrotit\src\react-app-env.d.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6
"c:\Users\Σταύρος\Desktop\wrotit\src\reportWebVitals.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Σταύρος\Desktop\wrotit\src\setupTests.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\Σταύρος\Desktop\wrotit\src\timeseries.json", "JSON", 0, 0, 0, 0, 0, 1730, 0, 0, 0, 0, 0, 0, 1730
"c:\Users\Σταύρος\Desktop\wrotit\tsconfig.json", "JSON with Comments", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\Σταύρος\Desktop\wrotit\types\png.d.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"Total", "-", 2085, 26, 36, 54, 236, 22814, 72, 20, 26, 7, 155, 418, 25949
